Column 3,EdgeBetweenness,interaction,name,selected,shared interaction,shared name,status
0.7558168,16.97601603,interacts with,C134_0157_a_at (interacts with) C134_0023_a_at,FALSE,interacts with,C134_0157_a_at (interacts with) C134_0023_a_at,up
0.7714183,6.79868781,interacts with,C134_0157_a_at (interacts with) C134_0024_a_at,FALSE,interacts with,C134_0157_a_at (interacts with) C134_0024_a_at,up
0.810433,6.05317548,interacts with,C134_0157_a_at (interacts with) C134_0025_a_at,FALSE,interacts with,C134_0157_a_at (interacts with) C134_0025_a_at,up
0.7400799,18.20392104,interacts with,C134_0157_a_at (interacts with) C134_0093_a_at,FALSE,interacts with,C134_0157_a_at (interacts with) C134_0093_a_at,up
0.7375173,7.63262779,interacts with,C134_0157_a_at (interacts with) C134_0097_a_at,FALSE,interacts with,C134_0157_a_at (interacts with) C134_0097_a_at,up
0.7618473,13.3869705,interacts with,C134_0157_a_at (interacts with) C134_0123_a_at,FALSE,interacts with,C134_0157_a_at (interacts with) C134_0123_a_at,up
0.7246844,16.36255222,interacts with,C134_0157_a_at (interacts with) C134_0148_at,FALSE,interacts with,C134_0157_a_at (interacts with) C134_0148_at,up
0.7007707,11.55949911,interacts with,C134_0159_a_at (interacts with) C134_0004_a_at,FALSE,interacts with,C134_0159_a_at (interacts with) C134_0004_a_at,up
0.835216,10.7167191,interacts with,C134_0159_a_at (interacts with) C134_0021_a_at,FALSE,interacts with,C134_0159_a_at (interacts with) C134_0021_a_at,up
0.7714944,9.26765933,interacts with,C134_0159_a_at (interacts with) C134_0022_a_at,FALSE,interacts with,C134_0159_a_at (interacts with) C134_0022_a_at,up
0.7210035,9.42609248,interacts with,C134_0159_a_at (interacts with) C134_0028_a_at,FALSE,interacts with,C134_0159_a_at (interacts with) C134_0028_a_at,up
0.7404328,6.64021345,interacts with,C134_0159_a_at (interacts with) C134_0038_a_at,FALSE,interacts with,C134_0159_a_at (interacts with) C134_0038_a_at,up
