"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","degree.layout","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"2.03181818","6.9442E-4","0.49217002","0.75","41","41","4","false","astB_b1745_15","70.70731707","41","0","0","0.79363636","false","0","astB_b1745_15","2560","0.40871282"
"2.05909091","0.00116483","0.48565121","0.72948718","40","40","4","false","astC_b1748_14","70.425","40","0","0","0.78818182","false","0","astC_b1748_14","2584","0.41919643"
"2.05","0.0011252","0.48780488","0.70580297","39","39","4","false","astD_b1746_14","66.71794872","39","0","0","0.79","false","0","astD_b1746_14","2636","0.39016344"
"2.28636364","6.6023E-4","0.43737575","0.70344828","30","30","4","false","astE_b1744_15","54.53333333","30","0","0","0.74272727","false","0","astE_b1744_15","1878","0.39232614"
"1.0","0.0","1.0","1.0","2","2","1","false","atoD_b2221_15","2.0","2","0","0","1.0","false","0","atoD_b2221_15","0","1.0"
"1.0","0.0","1.0","1.0","2","2","1","false","atoA_b2222_14","2.0","2","0","0","1.0","false","0","atoA_b2222_14","0","1.0"
"1.0","0.0","1.0","1.0","2","2","1","false","atoE_b2223_15","2.0","2","0","0","1.0","false","0","atoE_b2223_15","0","1.0"
"1.51956522","0.01698746","0.65808298","0.4361773","233","233","3","false","atpA_b3734_14","130.16738197","233","0","0","0.89608696","false","0","atpA_b3734_14","194648","0.29055219"
"1.52826087","0.00990185","0.65433855","0.45937546","233","233","3","false","atpB_b3738_14","132.1416309","233","0","0","0.89434783","false","0","atpB_b3738_14","146736","0.29761629"
"1.83913043","8.5581E-4","0.54373522","0.69174757","104","104","3","false","atpC_b3731_15","157.93269231","104","0","0","0.83217391","false","0","atpC_b3731_15","15386","0.36728533"
"1.6673913","0.00616477","0.59973924","0.51128791","172","172","3","false","atpD_b3732_15","138.15697674","172","0","0","0.86652174","false","0","atpD_b3732_15","86926","0.31328113"
"1.62173913","0.00568287","0.61662198","0.52083333","192","192","3","false","atpE_b3737_14","137.92708333","192","0","0","0.87565217","false","0","atpE_b3737_14","93556","0.31205222"
"1.57391304","0.00722101","0.63535912","0.50071537","212","212","3","false","atpF_b3736_14","135.79716981","212","0","0","0.88521739","false","0","atpF_b3736_14","117552","0.30584948"
"1.64782609","0.00760649","0.60686016","0.49266806","178","178","3","false","atpG_b3733_15","134.54494382","178","0","0","0.87043478","false","0","atpG_b3733_15","96784","0.30302915"
"1.58695652","0.00709942","0.63013699","0.51052952","207","207","3","false","atpH_b3735_14","136.74879227","207","0","0","0.8826087","false","0","atpH_b3735_14","111750","0.30868802"
"1.65434783","0.00283055","0.60446781","0.59010982","178","178","3","false","atpI_b3739_15","146.93258427","178","0","0","0.86913043","false","0","atpI_b3739_15","53220","0.33318046"
"1.76315789","0.0097647","0.56716418","0.58893281","23","23","3","false","azoR_b1412_14","25.43478261","23","0","0","0.80921053","false","0","azoR_b1412_14","642","0.35823637"
"1.86842105","0.01137383","0.53521127","0.51515152","22","22","3","false","amn_b1982_15","21.81818182","22","0","0","0.78289474","false","0","amn_b1982_15","586","0.34090909"
"1.9972973","3.7469E-4","0.50067659","0.69897959","49","49","3","false","baeS_b2078_15","116.08163265","49","0","0","0.80054054","false","0","baeS_b2078_15","3166","0.36050196"
"1.90909091","0.03787879","0.52380952","0.66666667","3","3","3","false","basS_b4112_14","5.0","3","0","0","0.77272727","false","0","basS_b4112_14","18","0.55555556"
"2.54545455","0.0","0.39285714","1.0","2","2","4","false","basR_b4113_14","4.0","2","0","0","0.61363636","false","0","basR_b4113_14","0","0.8"
"1.95","0.00175061","0.51282051","0.82142857","8","8","3","false","bcsA_b3533_14","16.25","8","0","0","0.7625","false","0","bcsA_b3533_14","18","0.47794118"
"1.7","0.07067995","0.58823529","0.45054945","14","14","3","false","bcsB_b3532_15","14.0","14","0","0","0.825","false","0","bcsB_b3532_15","466","0.37644788"
"1.975","3.2051E-4","0.50632911","0.93333333","6","6","3","false","agaS_b3136_15","19.66666667","6","0","0","0.75625","false","0","agaS_b3136_15","4","0.56190476"
"1.6","0.4","0.625","0.33333333","3","3","3","false","bcsF_b3537_15","2.33333333","3","0","0","0.85","false","0","bcsF_b3537_15","12","0.66666667"
"1.4","0.2","0.71428571","0.66666667","3","3","2","false","bcsE_b3536_15","3.0","3","0","0","0.9","false","0","bcsE_b3536_15","8","0.6"
"1.4","0.2","0.71428571","0.66666667","3","3","2","false","bcsG_b3538_15","3.0","3","0","0","0.9","false","0","bcsG_b3538_15","8","0.6"
"2.23636364","1.2644E-4","0.44715447","0.72794118","17","17","4","false","bdm_b1481_12","67.94117647","17","0","0","0.75272727","false","0","bdm_b1481_12","192","0.44405998"
"1.0","0.0","1.0","1.0","2","2","1","false","betB_b0312_14","2.0","2","0","0","1.0","false","0","betB_b0312_14","0","1.0"
"1.0","0.0","1.0","1.0","2","2","1","false","betA_b0311_14","2.0","2","0","0","1.0","false","0","betA_b0311_14","0","1.0"
"1.0","0.0","1.0","1.0","2","2","1","false","betI_b0313_15","2.0","2","0","0","1.0","false","0","betI_b0313_15","0","1.0"
"2.13913043","1.2798E-4","0.46747967","0.62745098","18","18","4","false","bglA_b2901_15","122.11111111","18","0","0","0.77217391","false","0","bglA_b2901_15","1128","0.32134503"
